id,separation_type,cease_date,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,maternity_family,ill_health,gender,age,length_of_service,dataset
72,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,36-40,1-2,dete
74,Contract Expired,2012.0,Temporary Full-time,False,False,False,False,False,False,Male,26-30,3-4,dete
75,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
76,Contract Expired,2012.0,Temporary Full-time,False,False,False,False,False,False,Male,26-30,1-2,dete
77,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,True,Female,56 or older,More than 20 years,dete
78,Termination,2012.0,Temporary Full-time,False,False,False,False,False,False,Male,51-55,5-6,dete
79,Contract Expired,2012.0,Temporary Full-time,False,False,False,False,False,False,Male,21-25,3-4,dete
80,Termination,2012.0,Temporary Full-time,False,False,False,False,False,False,Male,26-30,5-6,dete
81,Contract Expired,2012.0,Temporary Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
82,Contract Expired,2012.0,Temporary Full-time,False,False,False,False,False,False,Female,21-25,1-2,dete
83,Retirement,2012.0,Permanent Full-time,False,False,True,True,False,False,Female,51-55,More than 20 years,dete
84,Contract Expired,2012.0,Temporary Full-time,False,False,False,False,False,False,Female,41-45,1-2,dete
85,Termination,2012.0,Temporary Full-time,False,False,False,False,False,False,Female,56 or older,1-2,dete
86,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
87,Termination,2012.0,Temporary Full-time,False,False,False,False,False,False,Female,56 or older,1-2,dete
88,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,26-30,5-6,dete
89,Termination,2012.0,Temporary Full-time,False,False,False,False,False,False,Male,46-50,7-10,dete
90,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,More than 20 years,dete
91,Resignation,2012.0,Permanent Part-time,True,False,False,False,False,False,Female,41-45,More than 20 years,dete
92,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,True,Male,56 or older,More than 20 years,dete
93,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
94,Resignation,2012.0,Permanent Full-time,False,False,False,True,False,False,Female,41-45,7-10,dete
95,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
96,Retirement,2012.0,Permanent Full-time,False,False,False,True,False,False,Male,51-55,More than 20 years,dete
97,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
98,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
99,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,7-10,dete
100,Resignation,2012.0,Permanent Full-time,False,False,False,False,True,False,Male,31-35,1-2,dete
