id,separation_type,cease_date,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,maternity_family,ill_health,gender,age,length_of_service,dataset
308,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,5-6,dete
309,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,51-55,More than 20 years,dete
310,Retirement,2012.0,Permanent Full-time,False,False,True,False,False,False,Female,51-55,More than 20 years,dete
311,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
312,Resignation,2013.0,Permanent Full-time,False,False,False,True,False,False,Male,36-40,11-20,dete
313,Resignation,2013.0,Permanent Part-time,False,False,False,False,True,False,Female,36-40,11-20,dete
314,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
315,Resignation,2013.0,Permanent Full-time,False,True,False,False,False,False,Female,36-40,11-20,dete
318,Resignation,2012.0,Permanent Full-time,False,True,True,False,False,False,Male,41-45,More than 20 years,dete
319,Resignation,2012.0,Permanent Part-time,False,False,False,True,False,False,Female,46-50,Less than 1 year,dete
320,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
321,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,26-30,1-2,dete
322,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
323,Resignation,2013.0,Permanent Full-time,False,True,False,False,False,False,Male,26-30,5-6,dete
324,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Male,56 or older,11-20,dete
325,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,21-25,1-2,dete
326,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,46-50,11-20,dete
327,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,36-40,3-4,dete
328,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
329,Retirement,2013.0,Permanent Full-time,False,False,False,False,True,False,Female,56 or older,More than 20 years,dete
331,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
332,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
333,Resignation,2012.0,Permanent Full-time,False,False,True,False,False,False,Female,21-25,1-2,dete
334,Resignation,2012.0,Temporary Part-time,False,False,False,False,False,False,Female,51-55,Less than 1 year,dete
335,Retirement,2013.0,Permanent Full-time,False,False,False,True,False,False,Male,51-55,More than 20 years,dete
336,Contract Expired,2012.0,Temporary Full-time,False,False,False,False,False,False,Female,21-25,Less than 1 year,dete
338,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,51-55,More than 20 years,dete
339,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
341,Resignation,2013.0,Permanent Full-time,False,False,False,False,True,False,Male,26-30,7-10,dete
342,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
343,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
345,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
346,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,41-45,More than 20 years,dete
348,Resignation,2012.0,Permanent Full-time,False,True,False,False,False,False,Female,36-40,3-4,dete
349,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
351,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
352,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
354,Other,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,7-10,dete
355,Resignation,2013.0,Permanent Full-time,False,True,False,False,False,False,Male,26-30,5-6,dete
356,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
357,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,31-35,7-10,dete
358,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
359,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
360,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
361,Contract Expired,2012.0,Temporary Part-time,False,False,False,False,False,False,Female,46-50,5-6,dete
362,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
363,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
364,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
367,Resignation,2013.0,Permanent Full-time,False,True,False,False,False,False,Male,21-25,3-4,dete
368,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,21-25,1-2,dete
369,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,11-20,dete
370,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
371,Contract Expired,2012.0,Temporary Full-time,False,False,False,False,False,False,Female,26-30,Less than 1 year,dete
372,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,36-40,Less than 1 year,dete
374,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,True,Female,56 or older,More than 20 years,dete
375,Resignation,2012.0,Permanent Full-time,False,False,False,False,True,False,Female,41-45,11-20,dete
376,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,46-50,11-20,dete
377,Resignation,2012.0,Permanent Part-time,False,False,False,False,True,False,Female,46-50,5-6,dete
378,Resignation,2012.0,Permanent Part-time,False,False,False,True,False,False,Female,46-50,More than 20 years,dete
379,Retirement,2013.0,Permanent Full-time,False,False,False,True,False,False,Male,51-55,More than 20 years,dete
381,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
382,Resignation,2013.0,Permanent Full-time,False,True,False,False,False,False,Female,26-30,5-6,dete
383,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,True,Male,56 or older,7-10,dete
384,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
385,Contract Expired,2013.0,Temporary Full-time,False,False,False,True,False,False,Male,36-40,1-2,dete
386,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
387,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Male,51-55,More than 20 years,dete
388,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
389,Resignation,2013.0,Permanent Full-time,True,False,False,False,False,False,Female,46-50,5-6,dete
390,Resignation,2013.0,Permanent Full-time,True,False,False,False,False,False,Female,46-50,More than 20 years,dete
391,Resignation,2013.0,Permanent Full-time,False,True,False,False,False,False,Female,46-50,11-20,dete
392,Resignation,2012.0,Permanent Full-time,False,True,True,True,False,False,Female,31-35,5-6,dete
393,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
394,Other,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,46-50,3-4,dete
395,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
396,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
397,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
398,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
399,Resignation,2012.0,Permanent Part-time,False,False,False,False,True,False,Female,41-45,11-20,dete
401,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
402,Retirement,2013.0,Permanent Part-time,False,False,False,True,False,False,Female,56 or older,11-20,dete
403,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
404,Termination,2013.0,Permanent Part-time,False,False,False,False,True,False,Female,46-50,5-6,dete
405,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,11-20,dete
407,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,More than 20 years,dete
409,Resignation,2012.0,Permanent Full-time,False,True,True,True,True,False,Female,26-30,5-6,dete
411,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,26-30,5-6,dete
413,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,True,Female,41-45,5-6,dete
414,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
415,Resignation,2013.0,Permanent Full-time,True,False,False,False,False,False,Female,41-45,11-20,dete
416,Resignation,2013.0,Permanent Full-time,True,False,True,False,False,False,Male,26-30,1-2,dete
417,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,True,Female,56 or older,More than 20 years,dete
418,Resignation,2013.0,Permanent Part-time,False,True,False,False,False,False,Female,41-45,5-6,dete
420,Resignation,2013.0,Temporary Part-time,False,False,False,False,False,False,Female,41-45,1-2,dete
421,Retirement,2013.0,Permanent Full-time,False,False,False,False,True,False,Female,56 or older,More than 20 years,dete
422,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
423,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Male,56 or older,7-10,dete
424,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,31-35,5-6,dete
425,Other,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,51-55,11-20,dete
427,Other,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,46-50,3-4,dete
428,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
429,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
430,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,More than 20 years,dete
431,Other,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,41-45,7-10,dete
432,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Male,56 or older,11-20,dete
433,Resignation,2013.0,Permanent Full-time,False,False,False,True,False,False,Female,26-30,5-6,dete
434,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,46-50,11-20,dete
435,Resignation,2013.0,Permanent Full-time,False,True,False,False,False,False,Female,26-30,7-10,dete
436,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,51-55,7-10,dete
437,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,46-50,More than 20 years,dete
438,Resignation,2013.0,Permanent Full-time,False,False,False,True,False,True,Female,31-35,11-20,dete
440,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
441,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
442,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,31-35,3-4,dete
444,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
445,Retirement,2013.0,Permanent Full-time,False,False,False,True,False,False,Female,56 or older,More than 20 years,dete
446,Retirement,2012.0,Permanent Part-time,False,False,True,False,False,False,Male,56 or older,11-20,dete
447,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
448,Termination,2012.0,Temporary Full-time,False,True,False,False,False,False,Male,31-35,1-2,dete
449,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,7-10,dete
451,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
452,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,21-25,3-4,dete
453,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,41-45,More than 20 years,dete
455,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,Less than 1 year,dete
456,Other,2013.0,Permanent Full-time,False,False,False,True,False,True,Female,26-30,3-4,dete
457,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,21-25,Less than 1 year,dete
458,Retirement,2013.0,Permanent Full-time,False,False,False,True,False,True,Female,56 or older,More than 20 years,dete
459,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
460,Resignation,2012.0,Temporary Full-time,False,True,False,False,False,False,Female,36-40,1-2,dete
461,Termination,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,51-55,3-4,dete
462,Resignation,2013.0,Permanent Part-time,False,True,False,False,False,False,Female,51-55,3-4,dete
463,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
464,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,41-45,More than 20 years,dete
465,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,36-40,11-20,dete
466,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,More than 20 years,dete
467,Resignation,2013.0,Permanent Part-time,False,False,False,False,True,False,Female,41-45,11-20,dete
469,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,11-20,dete
470,Other,2013.0,Permanent Full-time,False,True,False,False,False,False,Female,21-25,3-4,dete
471,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,True,Female,46-50,More than 20 years,dete
473,Retirement,2013.0,Permanent Full-time,False,False,False,True,False,False,Female,56 or older,More than 20 years,dete
474,Resignation,2013.0,Permanent Part-time,False,False,False,True,False,False,Female,51-55,11-20,dete
476,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,7-10,dete
477,Resignation,2013.0,Contract/casual,False,False,False,False,False,False,Male,51-55,5-6,dete
478,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,46-50,7-10,dete
479,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,51-55,11-20,dete
480,Resignation,2013.0,Permanent Part-time,False,False,False,False,True,False,Female,26-30,Less than 1 year,dete
481,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
482,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Male,41-45,More than 20 years,dete
483,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
484,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
485,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
486,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,46-50,7-10,dete
487,Resignation,2013.0,Permanent Part-time,False,False,False,False,True,False,Female,41-45,11-20,dete
488,Retirement,2012.0,Permanent Part-time,False,False,True,False,False,True,Female,56 or older,11-20,dete
489,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,More than 20 years,dete
491,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
492,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,True,Female,56 or older,More than 20 years,dete
494,Other,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
495,Resignation,2012.0,Permanent Part-time,False,True,False,True,False,False,Female,56 or older,More than 20 years,dete
496,Resignation,2013.0,Permanent Part-time,False,True,False,False,False,False,Female,46-50,1-2,dete
497,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,True,Male,51-55,1-2,dete
498,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,36-40,3-4,dete
499,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Male,51-55,11-20,dete
500,Resignation,2013.0,Temporary Full-time,False,False,False,False,True,False,Female,26-30,Less than 1 year,dete
501,Resignation,2013.0,Permanent Full-time,False,True,False,False,False,False,Female,31-35,11-20,dete
503,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,True,Female,56 or older,More than 20 years,dete
504,Resignation,2013.0,Permanent Full-time,False,False,False,True,False,False,Male,56 or older,More than 20 years,dete
505,Resignation,2013.0,Permanent Full-time,False,True,False,False,False,False,Male,36-40,5-6,dete
506,Resignation,2013.0,Permanent Full-time,False,False,False,False,True,False,Female,46-50,More than 20 years,dete
507,Resignation,2013.0,Permanent Full-time,True,False,False,False,False,True,Female,21-25,3-4,dete
508,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,True,Female,46-50,More than 20 years,dete
510,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,True,Male,51-55,11-20,dete
511,Other,2013.0,Permanent Part-time,False,False,False,False,False,False,Male,36-40,Less than 1 year,dete
512,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
513,Retirement,2014.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
514,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
515,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,7-10,dete
516,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
517,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
519,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
521,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,51-55,11-20,dete
522,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
523,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,11-20,dete
524,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
525,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
526,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
527,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
528,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
529,Retirement,2012.0,Permanent Part-time,False,False,False,True,False,True,Male,56 or older,More than 20 years,dete
533,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
534,Resignation,2013.0,Permanent Full-time,False,True,False,False,False,False,Male,36-40,11-20,dete
535,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,3-4,dete
536,Retirement,2013.0,Permanent Full-time,False,False,False,False,True,False,Female,56 or older,More than 20 years,dete
537,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,46-50,5-6,dete
538,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
540,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,5-6,dete
541,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,46-50,11-20,dete
542,Resignation,2013.0,Permanent Part-time,False,False,False,True,False,False,Female,41-45,11-20,dete
543,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,7-10,dete
544,Resignation,2013.0,Permanent Full-time,True,False,False,False,True,False,Female,21-25,1-2,dete
545,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
546,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
547,Other,2013.0,Permanent Part-time,False,False,False,False,True,True,Male,56 or older,3-4,dete
548,Resignation,2013.0,Permanent Full-time,True,False,False,True,False,False,Female,41-45,3-4,dete
549,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
550,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,51-55,More than 20 years,dete
551,Resignation,2013.0,Permanent Full-time,False,False,False,False,True,False,Male,36-40,11-20,dete
552,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,41-45,1-2,dete
553,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,7-10,dete
554,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
556,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
557,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,True,Female,56 or older,More than 20 years,dete
558,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,21-25,1-2,dete
559,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Male,56 or older,7-10,dete
560,Retirement,2013.0,Permanent Part-time,False,False,True,False,False,False,Female,56 or older,11-20,dete
561,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
562,Retirement,2013.0,Permanent Full-time,False,False,True,False,False,False,Male,56 or older,More than 20 years,dete
563,Resignation,2013.0,Permanent Part-time,False,True,False,False,False,False,Female,41-45,1-2,dete
564,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,41-45,More than 20 years,dete
565,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
566,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
567,Retirement,2013.0,Permanent Full-time,False,False,False,True,False,False,Male,56 or older,More than 20 years,dete
569,Resignation,2013.0,Permanent Part-time,False,True,False,False,True,False,Female,46-50,11-20,dete
570,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,31-35,3-4,dete
571,Other,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,41-45,7-10,dete
572,Resignation,2013.0,Permanent Full-time,True,False,False,False,False,False,Female,41-45,11-20,dete
574,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,41-45,3-4,dete
575,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
576,Resignation,2013.0,Permanent Full-time,False,False,False,False,True,False,Female,31-35,7-10,dete
577,Resignation,2013.0,Permanent Part-time,False,True,False,False,True,False,Female,26-30,7-10,dete
578,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,36-40,11-20,dete
579,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Male,56 or older,11-20,dete
580,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,True,Male,56 or older,11-20,dete
581,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
582,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
583,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,True,Female,56 or older,11-20,dete
584,Retirement,2013.0,Permanent Full-time,False,False,True,True,False,False,Female,56 or older,More than 20 years,dete
585,Resignation,2013.0,Permanent Part-time,False,False,False,False,True,False,Female,51-55,5-6,dete
586,Resignation,2013.0,Temporary Full-time,False,False,False,False,False,False,Female,21-25,1-2,dete
587,Resignation,2010.0,Permanent Part-time,False,False,False,False,False,False,Female,51-55,11-20,dete
588,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
589,Resignation,2013.0,Temporary Part-time,False,False,False,False,False,False,Male,31-35,1-2,dete
590,Resignation,2013.0,Permanent Full-time,False,False,True,False,False,False,Male,56 or older,More than 20 years,dete
591,Resignation,2014.0,Permanent Full-time,False,False,False,False,False,False,Female,31-35,7-10,dete
592,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,51-55,11-20,dete
593,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
594,Resignation,2013.0,Permanent Full-time,False,False,False,True,True,True,Female,36-40,7-10,dete
596,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
597,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
598,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
599,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
600,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
601,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
602,Resignation,2013.0,Permanent Full-time,False,False,True,True,False,False,Female,26-30,3-4,dete
603,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,5-6,dete
604,Contract Expired,2013.0,Temporary Full-time,False,False,False,False,False,False,Female,36-40,Less than 1 year,dete
605,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,11-20,dete
606,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
607,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
608,Resignation,2013.0,Permanent Part-time,False,False,False,True,False,False,Female,31-35,7-10,dete
609,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,31-35,7-10,dete
610,Retirement,2012.0,Temporary Part-time,False,False,False,False,False,True,Male,56 or older,More than 20 years,dete
611,Resignation,2013.0,Permanent Part-time,False,False,False,True,False,False,Female,56 or older,More than 20 years,dete
612,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,True,Male,56 or older,More than 20 years,dete
613,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,51-55,11-20,dete
614,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,26-30,3-4,dete
615,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
616,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,True,Male,51-55,11-20,dete
617,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
618,Resignation,2013.0,Permanent Part-time,False,False,False,True,False,False,Female,51-55,11-20,dete
619,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
620,Resignation,2013.0,Permanent Part-time,False,True,False,False,False,False,Female,36-40,7-10,dete
621,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
622,Resignation,2013.0,Permanent Part-time,False,False,False,False,True,False,Female,51-55,More than 20 years,dete
623,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Male,56 or older,11-20,dete
624,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,7-10,dete
625,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
626,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,False,Female,41-45,1-2,dete
627,Resignation,2013.0,Permanent Part-time,False,True,False,True,False,False,Female,26-30,3-4,dete
628,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,11-20,dete
629,Retirement,2014.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
630,Retirement,2013.0,Permanent Part-time,False,False,True,False,False,False,Female,56 or older,More than 20 years,dete
631,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,True,Female,56 or older,5-6,dete
632,Resignation,2013.0,Permanent Part-time,False,False,False,False,False,True,Male,41-45,7-10,dete
